year,month,maxtempC,maxtempF,mintempC,mintempF,avgtempC,avgtempF,rainMM,rainInches,rain_days,snow_cm,snow_days,maxwindspeedMiles,maxwindspeedKmph,avgwindspeedMiles,avgwindspeedKmph,avgwindgustMiles,avgwindgustKmph,visibilityKm,visibilityMiles,humidity,pressureMB,pressureInches,cloudcover,sun_hour,sun_days,uvindex
2009,1,5,41,0,32,2,36,20.82,0.82,8,0.2,2,10.1,16.3,10.1,16.3,17.1,27.6,8,5,88,1011.1,30.3,50,150,20,2
2009,2,6,44,2,35,4,39,31.2,1.23,12,3.2,5,8.3,13.3,8.3,13.3,13.3,21.5,7,4,91,1015.1,30.5,67,85.5,14,3
2009,3,11,52,3,37,6,44,17.17,0.68,8,0.1,1,8.9,14.4,8.9,14.4,14.1,22.7,8,5,83,1015,30.5,51,190,21,2
2009,4,15,59,5,42,10,50,32.18,1.27,12,0,0,6.7,10.7,6.7,10.7,9.9,16,8,4,81,1013.3,30.4,46,249,16,3
2009,5,17,63,8,46,13,55,19.36,0.76,10,0,0,8.9,14.3,8.9,14.3,12.6,20.3,9,5,76,1018.1,30.5,48,246,20,5
2009,6,20,69,10,50,15,59,31.6,1.24,14,0,0,5.8,9.3,5.8,9.3,8.1,13,9,5,76,1017.4,30.5,47,257.5,15,6
2009,7,20,69,12,54,16,61,38.27,1.51,17,0,0,8.4,13.6,8.4,13.6,12.1,19.5,9,5,78,1012.3,30.4,54,240,11,4
2009,8,22,72,13,56,17,63,16.55,0.65,9,0,0,7,11.3,7,11.3,10,16,9,5,77,1015.9,30.5,46,261.5,19,5
2009,9,19,66,11,52,15,58,13.87,0.55,8,0,0,7.8,12.6,7.8,12.6,11.4,18.4,9,5,76,1021.7,30.7,46,224.5,20,4
2009,10,15,59,8,47,11,52,21.14,0.83,11,0,0,7.4,12,7.4,12,11.8,19,8,4,85,1016.2,30.5,57,137.5,18,3
2009,11,11,52,7,44,9,48,31,1.22,18,0,0,12.2,19.6,12.2,19.6,20.1,32.3,8,5,88,1001.3,30,64,98.5,10,1
2009,12,5,41,2,35,3,38,33.38,1.31,17,0.4,2,10,16.1,10,16.1,16.7,26.9,8,4,93,1005.9,30.2,62,131,12,1
2010,1,3,38,-1,30,1,34,21.36,0.84,10,7.7,12,8.9,14.3,8.9,14.3,14.7,23.6,7,4,92,1015,30.4,66,105,10,2
2010,2,5,41,1,33,3,37,37.23,1.47,13,1.5,7,9.6,15.5,9.6,15.5,15.4,24.8,8,4,91,1002.9,30.1,74,66.5,9,1
2010,3,9,49,2,36,6,42,23.13,0.91,8,0,0,9.1,14.7,9.1,14.7,14.1,22.7,9,5,85,1016.5,30.5,61,159.5,19,1
2010,4,14,57,4,39,9,47,15.91,0.63,9,0,0,7.3,11.8,7.3,11.8,11.2,18,9,5,79,1019.6,30.6,45,263,19,3
2010,5,15,59,5,41,10,51,18.73,0.74,10,0,0,6.5,10.4,6.5,10.4,9.5,15.2,8,5,79,1017.4,30.5,55,205,17,3
2010,6,21,70,10,50,16,60,19.31,0.76,11,0,0,6.2,9.9,6.2,9.9,8.8,14.1,8,5,76,1017.5,30.5,43,266,18,5
2010,7,23,73,13,56,18,64,15.43,0.61,9,0,0,7.2,11.6,7.2,11.6,10.3,16.5,8,5,72,1015.6,30.5,52,242,20,4
2010,8,20,68,12,53,16,60,40.84,1.61,16,0,0,7.5,12.1,7.5,12.1,11.1,17.8,7,4,82,1014.2,30.4,62,213,11,4
2010,9,18,64,10,49,13,56,23.15,0.91,11,0,0,7.4,12,7.4,12,11.6,18.7,7,4,85,1015.1,30.5,63,179,17,4
2010,10,14,57,7,44,10,50,10.83,0.43,7,0,0,8.5,13.8,8.5,13.8,13.8,22.2,8,4,89,1013,30.4,62,150.5,20,2
2010,11,8,46,3,37,5,41,18.55,0.73,7,2.2,2,9,14.5,9,14.5,14.9,24.1,8,4,93,1005.7,30.2,67,112.5,17,1
2010,12,2,35,-3,27,0,31,13.7,0.54,7,6.8,7,8.2,13.2,8.2,13.2,14.5,23.3,6,3,97,1014.5,30.4,66,99,16,1
2011,1,6,43,1,34,3,38,21.57,0.85,13,0.1,1,9.6,15.5,9.6,15.5,16.2,26.1,7,4,94,1018.4,30.6,68,102,16,2
2011,2,8,47,3,38,6,42,21.33,0.84,10,0,0,10.1,16.3,10.1,16.3,16.6,26.7,7,4,94,1014.2,30.4,72,80,16,1
2011,3,11,52,3,37,6,43,6.68,0.26,8,0,0,7.8,12.5,7.8,12.5,12.4,19.9,8,4,86,1019.4,30.6,53,190,20,3
2011,4,18,64,6,44,12,53,2.56,0.1,4,0,0,7.3,11.7,7.3,11.7,11.1,17.8,9,5,78,1019.5,30.6,39,296,24,4
2011,5,17,62,7,44,12,54,4.48,0.18,6,0,0,9,14.4,9,14.4,13.2,21.2,8,5,79,1018.2,30.5,47,265,22,4
2011,6,18,64,9,48,14,57,47.79,1.88,22,0,0,8,12.9,8,12.9,11.8,18.9,7,4,86,1015.5,30.5,64,205,6,4
2011,7,19,67,10,51,15,59,38.83,1.53,21,0,0,6.9,11.1,6.9,11.1,10.1,16.2,8,4,82,1013.4,30.4,54,247,6,5
2011,8,20,68,11,53,15,60,35.75,1.41,14,0,0,6.8,10.9,6.8,10.9,10.1,16.3,8,4,82,1013.1,30.4,57,241.5,15,4
